event_id,state,event_ym,mw_before,mw_end,pct_window,n_steps,post_avg,pre_avg,weight
3,Alaska,2010-01,7.25,7.75,0.0689655172413792,1,0.017032515169244117,-0.028562579332325283,0.02564102564102564
4,Alaska,2015-01,7.75,9.84,0.2696774193548388,2,-0.02424678214435466,0.07232706628185465,0.02564102564102564
5,Alaska,2024-01,10.85,13.0,0.1981566820276499,2,0.01177546627833348,0.07797182300942379,0.02564102564102564
7,Arizona,2017-01,8.05,12.0,0.4906832298136645,3,-0.009371074896099701,0.03772756771844826,0.02564102564102564
9,Arkansas,2016-01,7.5,9.25,0.2333333333333334,3,-0.027188240279722442,-0.041810602161676536,0.02564102564102564
12,California,2014-07,8.0,11.0,0.375,3,0.005606425093124007,-0.0032950960502285964,0.02564102564102564
14,Colorado,2017-01,8.31,12.0,0.4440433212996388,4,0.03956250755981272,0.08395556383806724,0.02564102564102564
16,Connecticut,2014-01,8.25,10.1,0.2242424242424241,3,-0.05408492023157585,-0.09491182528380743,0.02564102564102564
19,Delaware,2014-06,7.25,8.25,0.1379310344827586,2,0.009051053552322219,0.004214277810580591,0.02564102564102564
20,Delaware,2019-01,8.25,10.5,0.2727272727272727,3,-0.08088849492834735,-0.011953308497995141,0.02564102564102564
23,District of Columbia,2014-07,8.25,12.5,0.5151515151515151,4,0.025082371572804907,-0.07707411628975458,0.02564102564102564
25,Florida,2021-10,8.56,13.0,0.5186915887850467,4,0.04839585100201382,0.05161375786584965,0.02564102564102564
27,Hawaii,2015-01,7.25,10.1,0.3931034482758619,4,0.0644160989332789,0.1089384078071523,0.02564102564102564
28,Hawaii,2022-10,10.1,14.0,0.3861386138613862,2,0.04298576169525833,0.04546795750457766,0.02564102564102564
30,Illinois,2020-01,8.25,13.0,0.5757575757575757,5,-0.04864327103737634,-0.06209373059578149,0.02564102564102564
36,Maine,2017-01,7.5,12.0,0.6000000000000001,4,-0.05813290675886432,-0.0844884205347829,0.02564102564102564
38,Maryland,2015-01,7.25,10.1,0.3931034482758619,4,-0.011134859844801476,0.009808328173947556,0.02564102564102564
41,Massachusetts,2015-01,8.0,11.0,0.375,3,-0.048487747296596495,-0.007084216461895998,0.02564102564102564
43,Michigan,2014-09,7.4,9.25,0.25,1,-0.058163192110342654,0.006423898356347879,0.02564102564102564
44,Michigan,2025-03,10.56,12.48,0.1818181818181818,1,0.03343811343237141,0.05190996578685508,0.02564102564102564
46,Minnesota,2014-08,7.25,9.65,0.3310344827586207,3,0.009238983472004747,-0.005577756686456603,0.02564102564102564
48,Missouri,2019-01,7.85,11.15,0.4203821656050956,4,-0.0700107798032868,-0.11135682706183647,0.02564102564102564
51,Montana,2022-01,8.75,10.55,0.2057142857142857,2,0.005808921920995774,0.03222283121724945,0.02564102564102564
52,Nebraska,2015-01,7.25,9.0,0.2413793103448276,2,0.000399445872971943,-0.004869506442882476,0.02564102564102564
53,Nebraska,2023-01,9.0,13.5,0.5,3,0.0078005638905413455,-0.040626797085676625,0.02564102564102564
55,Nevada,2020-07,8.25,11.25,0.3636363636363635,4,-0.027490953837469995,0.007602873537043475,0.02564102564102564
57,New Jersey,2014-01,7.25,8.44,0.1641379310344826,1,0.014127658763998907,-0.0013581389379306863,0.02564102564102564
58,New Jersey,2019-07,8.85,14.0,0.5819209039548023,5,0.0003517447135377161,0.020457099040004645,0.02564102564102564
59,New Mexico,2020-01,7.5,12.0,0.6000000000000001,3,-0.016757179694419894,-0.031429669046967645,0.02564102564102564
61,New York,2014-01,7.25,9.7,0.3379310344827586,3,0.022129635445672674,-0.0038195214961586066,0.02564102564102564
64,Ohio,2022-01,8.8,10.7,0.2159090909090908,2,-0.001666795877834637,0.01546421840002904,0.02564102564102564
68,Oregon,2016-07,9.25,11.25,0.2162162162162162,2,-0.025361890269415405,0.020979249846801662,0.02564102564102564
72,Rhode Island,2015-01,8.0,10.1,0.2624999999999999,3,0.013469408641636982,-0.0027039618813972655,0.02564102564102564
73,South Dakota,2015-01,7.25,8.85,0.2206896551724138,1,-0.0039940493019061385,-0.06679652990822055,0.02564102564102564
74,South Dakota,2022-01,9.45,11.5,0.2169312169312169,2,-0.0029600453071723237,-0.004304738328313851,0.02564102564102564
76,Vermont,2018-01,10.0,11.75,0.175,2,0.0036829664686690022,-0.025328557696169707,0.02564102564102564
77,Virginia,2021-05,7.25,13.5,0.8620689655172413,4,-0.06691775496613703,-0.03754836623878782,0.02564102564102564
80,Washington,2017-01,9.47,13.5,0.4255543822597676,2,0.03685242211500492,0.053356125245607455,0.02564102564102564
82,West Virginia,2015-01,7.25,8.75,0.2068965517241379,2,-0.025273516991279332,0.019807686818930692,0.02564102564102564
