event_id,unit,event_ym,mw_before,mw_end,pct_window,n_steps,state,post_avg,pre_avg,weight
3,2,2010-01,7.25,7.75,0.0689655172413792,1,Alaska,-0.0024005386213896,0.008627948079910311,0.003565458048591128
4,2,2015-01,7.75,9.84,0.2696774193548388,2,Alaska,-0.015213001006429451,-0.012472619689860485,0.003710836440816819
5,2,2024-01,10.85,13.0,0.1981566820276499,2,Alaska,-0.002003283932218325,0.006176124323568399,0.0035131187361155227
7,4,2017-01,8.05,12.0,0.4906832298136645,3,Arizona,0.020210016085245003,0.013758146213947137,0.03154723018505534
9,5,2016-01,7.5,9.25,0.2333333333333334,3,Arkansas,-0.017768281326116683,0.008707729926730981,0.013885065723041686
12,6,2014-07,8.0,11.0,0.375,3,California,0.0033514398137634016,0.009307778724303932,0.1750714776105277
14,8,2017-01,8.31,12.0,0.4440433212996388,4,Colorado,0.005109914983319808,-0.009557896217130553,0.02084688368790965
16,9,2014-01,8.25,10.1,0.2242424242424241,3,Connecticut,0.0007038539332383728,0.021223690569894628,0.018669911096573198
19,10,2014-06,7.25,8.25,0.1379310344827586,2,Delaware,-0.0028624446562096582,-0.02942925675068417,0.004292621755942663
20,10,2019-01,8.25,10.5,0.2727272727272727,3,Delaware,-0.0015484503419247175,0.01441237579195273,0.003725744578076987
23,11,2014-07,8.25,12.5,0.5151515151515151,4,District of Columbia,-0.050293729192386005,-0.0009523641509344705,0.001823093853429915
25,12,2021-10,8.56,13.0,0.5186915887850467,4,Florida,0.02699359614079487,0.020969552798566916,0.08054296244790447
27,15,2015-01,7.25,10.1,0.3931034482758619,4,Hawaii,-0.007934554975400802,-0.015774700856484337,0.0061387069698479926
28,15,2022-10,10.1,14.0,0.3861386138613862,2,Hawaii,0.006271949646683501,0.0009476681666396661,0.006436805859317506
30,17,2020-01,8.25,13.0,0.5757575757575757,5,Illinois,0.017635047481944423,0.020621914901110774,0.05935395904128836
36,23,2017-01,7.5,12.0,0.6000000000000001,4,Maine,0.0017497093910117702,-0.025879490664540997,0.005121932803600561
38,24,2015-01,7.25,10.1,0.3931034482758619,4,Maryland,-0.009610935121143933,-0.0033552416366327276,0.024989469241258437
41,25,2015-01,8.0,11.0,0.375,3,Massachusetts,0.01655962896615735,0.0176361897308459,0.03358601786492881
43,26,2014-09,7.4,9.25,0.25,1,Michigan,-0.01773542966103557,-0.007062435391430498,0.041326488628227964
44,26,2025-03,10.56,12.48,0.1818181818181818,1,Michigan,0.0624121024642065,-0.00323509926735889,0.04326870967889297
46,27,2014-08,7.25,9.65,0.3310344827586207,3,Minnesota,0.02059052420538801,0.016942999422870905,0.024383552628000994
48,29,2019-01,7.85,11.15,0.4203821656050956,4,Missouri,0.02167195305626088,0.006635020277331198,0.02825001263649383
51,30,2022-01,8.75,10.55,0.2057142857142857,2,Montana,0.02098110954304041,0.00022434303540370265,0.0042822718863023464
52,31,2015-01,7.25,9.0,0.2413793103448276,2,Nebraska,-0.013575999458246394,-0.03758959465481607,0.00788979451137047
53,31,2023-01,9.0,13.5,0.5,3,Nebraska,0.005694269574172319,0.027050940047352846,0.009114226347178544
55,32,2020-07,8.25,11.25,0.3636363636363635,4,Nevada,0.018633814970748182,0.011646522259701433,0.012236655042951633
57,34,2014-01,7.25,8.44,0.1641379310344826,1,New Jersey,-0.004829635290890966,0.014283284936307337,0.044136566584612326
58,34,2019-07,8.85,14.0,0.5819209039548023,5,New Jersey,-0.010589753919772026,-0.03292432445301005,0.03884030134204686
59,35,2020-01,7.5,12.0,0.6000000000000001,3,New Mexico,-0.017736481255331244,0.015916544894988338,0.008829254026042217
61,36,2014-01,7.25,9.7,0.3379310344827586,3,New York,-0.009997502925059704,0.0006026716487908118,0.08462025029822154
64,39,2022-01,8.8,10.7,0.2159090909090908,2,Ohio,-0.03379315700947294,-0.014719990304141263,0.048958244818111736
68,41,2016-07,9.25,11.25,0.2162162162162162,2,Oregon,-0.0038505874435874124,-0.020861904937184275,0.017504815409789588
72,44,2015-01,8.0,10.1,0.2624999999999999,3,Rhode Island,0.03207066445097394,0.009099503431973181,0.004977274747965999
73,46,2015-01,7.25,8.85,0.2206896551724138,1,South Dakota,0.0022170571279504572,-0.01704201025425167,0.003821377298454285
74,46,2022-01,9.45,11.5,0.2169312169312169,2,South Dakota,-0.015651350187772823,0.008811073031059553,0.004021294716193017
76,50,2018-01,10.0,11.75,0.175,2,Vermont,0.012862341914046678,0.03236547444881321,0.0026771565892829653
77,51,2021-05,7.25,13.5,0.8620689655172413,4,Virginia,0.003558059777214923,-0.024325704837744502,0.03372552581211941
80,53,2017-01,9.47,13.5,0.4255543822597676,2,Washington,0.003562162209741652,0.018616832947254053,0.032470375079338774
82,54,2015-01,7.25,8.75,0.2068965517241379,2,West Virginia,-0.00995794867662296,-0.039945898237202265,0.007844555974175771
