event_id,unit,event_ym,mw_before,mw_end,pct_window,n_steps,source,post_avg,pre_avg,weight
3,2,2010-01,7.25,7.75,0.0689655172413792,1,state,-0.0932091530770024,-0.022590809501009043,0.0021158946557892394
4,2,2015-01,7.75,9.84,0.2696774193548388,2,state,-0.13310248143435527,-0.1394675618285271,0.003122901844964256
5,2,2024-01,10.85,13.0,0.1981566820276499,2,state,0.05737933085915875,-0.04859869555495867,0.002345280818552043
7,4,2017-01,8.05,12.0,0.4906832298136645,3,state,-0.0008754980641424784,0.02485336962090704,0.044822486583126084
9,5,2016-01,7.5,9.25,0.2333333333333334,3,state,0.01959202729704421,0.026598950525874708,0.015711873153363407
12,6,2014-07,8.0,11.0,0.375,3,state,-0.03191564782356945,-0.011022091242584804,0.11836410955619298
14,8,2017-01,8.31,12.0,0.4440433212996388,4,state,-0.03451867402781874,-0.06791036669855952,0.01677040046804873
16,9,2014-01,8.25,10.1,0.2242424242424241,3,state,0.01726083931709639,0.026688244479769065,0.01270540406095457
19,10,2014-06,7.25,8.25,0.1379310344827586,2,state,-0.0037043598874904812,-0.007387229507805758,0.004321109662119231
20,10,2019-01,8.25,10.5,0.2727272727272727,3,state,0.04067879788991107,0.0005170259109745362,0.0032624505442872677
23,11,2014-07,8.25,12.5,0.5151515151515151,4,state,-0.09741513607819799,-0.02654164676275364,0.002338471698215188
25,12,2021-10,8.56,13.0,0.5186915887850467,4,state,0.004899291523481831,0.016845217084110263,0.09046539022589825
27,15,2015-01,7.25,10.1,0.3931034482758619,4,state,0.04671268354660658,0.03781153381273833,0.004149410458468218
28,15,2022-10,10.1,14.0,0.3861386138613862,2,state,-0.06638486359289654,-0.08092635906990267,0.004790639547445669
30,17,2020-01,8.25,13.0,0.5757575757575757,5,state,-0.025972334516726474,0.025884941586304486,0.03704901309851214
36,23,2017-01,7.5,12.0,0.6000000000000001,4,state,0.055488646981410365,0.04158124539832783,0.003363549159303428
38,24,2015-01,7.25,10.1,0.3931034482758619,4,state,-0.03539555972784636,-0.025658179611403327,0.010050539211780356
41,25,2015-01,8.0,11.0,0.375,3,state,-0.04059539777126139,-0.011036592892285715,0.026664071831696484
43,26,2014-09,7.4,9.25,0.25,1,state,0.02621053836619183,0.010602199065886476,0.0357969150795302
44,26,2025-03,10.56,12.48,0.1818181818181818,1,state,-0.07270944261811767,-0.044188841745259,0.05055220874342537
46,27,2014-08,7.25,9.65,0.3310344827586207,3,state,0.046787582647156954,-0.0059481835262200425,0.015503847153410771
48,29,2019-01,7.85,11.15,0.4203821656050956,4,state,0.0397452939571084,0.07800021080443757,0.02080723972051929
51,30,2022-01,8.75,10.55,0.2057142857142857,2,state,-0.09256920353657759,-0.12330253502122258,0.0032260791714353453
52,31,2015-01,7.25,9.0,0.2413793103448276,2,state,0.037849010615292986,0.0480131223899171,0.00584742127574352
53,31,2023-01,9.0,13.5,0.5,3,state,-0.04219047279399589,-0.024711164848353118,0.008370766895177986
55,32,2020-07,8.25,11.25,0.3636363636363635,4,state,0.07562343003067211,0.11144935727842237,0.01287690884784557
57,34,2014-01,7.25,8.44,0.1641379310344826,1,state,0.021852558928992814,-0.004853016622508581,0.02853788977816544
58,34,2019-07,8.85,14.0,0.5819209039548023,5,state,0.050031618773404875,0.06505920448710423,0.03102924949593234
59,35,2020-01,7.5,12.0,0.6000000000000001,3,state,-0.01725952892795181,-0.002058509384593489,0.005190559080679636
61,36,2014-01,7.25,9.7,0.3379310344827586,3,state,-0.044315637796925184,0.01009408598418618,0.02847380039133183
64,39,2022-01,8.8,10.7,0.2159090909090908,2,state,-0.03551874339154521,-0.05183684043324476,0.05222742560709827
68,41,2016-07,9.25,11.25,0.2162162162162162,2,state,0.025118379934211583,0.01787286101391206,0.018558644402909826
72,44,2015-01,8.0,10.1,0.2624999999999999,3,state,0.003421247120619749,0.012664110802484231,0.004640609823994801
73,46,2015-01,7.25,8.85,0.2206896551724138,1,state,0.05929010135469282,0.06199122368195421,0.002756040413131133
74,46,2022-01,9.45,11.5,0.2169312169312169,2,state,-0.018857770593381697,-0.05999926387056932,0.00397331816659979
76,50,2018-01,10.0,11.75,0.175,2,state,0.09497641489251035,0.03426396418397545,0.002440503284100615
77,51,2021-05,7.25,13.5,0.8620689655172413,4,state,0.032185561311461865,0.030978617725789064,0.020666058871651453
80,53,2017-01,9.47,13.5,0.4255543822597676,2,state,0.01590811444455558,-0.011166447467597138,0.023752490135467683
82,54,2015-01,7.25,8.75,0.2068965517241379,2,state,-0.06120780842150779,-0.026697161076820103,0.011410135123465582
90,6001,2014-07,8.0,13.23,0.65375,2,both,-0.21932872345014293,-0.09980321077161423,0.004836094632636697
93,6013,2014-07,8.0,13.41,0.67625,5,both,,,0.0
96,6037,2014-07,8.0,12.0,0.5,4,both,-0.028369136375532823,-0.012366979112082496,0.06511276369418453
99,6041,2014-07,8.0,11.0,0.375,3,both,,,0.0
102,6073,2014-07,8.0,11.5,0.4375,4,both,0.002370314153438781,-0.04012982151454131,0.01711306536663606
104,6075,2015-05,11.05,15.0,0.3574660633484161,4,local,0.005608894112630149,0.003521848850365668,0.0012850086515974982
107,6081,2014-07,8.0,13.5,0.6875,4,both,0.24569530418732427,0.06468385874552496,0.0007034159215929937
