event_id,unit,event_ym,mw_before,mw_end,pct_window,n_steps,source,post_avg,pre_avg,weight
4,2,2015-01,7.75,9.84,0.2696774193548388,2,state,0.01903306973061869,-0.009775679561610628,0.00413068101714149
5,2,2024-01,10.85,13.0,0.1981566820276499,2,state,0.16976711599714656,0.02558837272610215,0.0028653273674168174
7,4,2017-01,8.05,12.0,0.4906832298136645,3,state,0.09281829169537492,0.05747452299626876,0.027157534860954288
9,5,2016-01,7.5,9.25,0.2333333333333334,3,state,0.049396431066834,0.017886732943567907,0.016706620523038535
12,6,2014-07,8.0,11.0,0.375,3,state,-0.018275692498553653,-0.02681112870701119,0.06223925794483465
14,8,2017-01,8.31,12.0,0.4440433212996388,4,state,0.14037352239191458,0.01909838824879473,0.015340075492075927
16,9,2014-01,8.25,10.1,0.2242424242424241,3,state,0.03717690955590114,0.03252990338951389,0.02357460656533224
19,10,2014-06,7.25,8.25,0.1379310344827586,2,state,0.04574258230575656,0.05421942723065065,0.0052444629970509506
20,10,2019-01,8.25,10.5,0.2727272727272727,3,state,0.0187465327280274,0.07811471298413863,0.0059339673618857
23,11,2014-07,8.25,12.5,0.5151515151515151,4,state,-0.1653260833586182,-0.1074629608955513,0.0003528793467612209
25,12,2021-10,8.56,13.0,0.5186915887850467,4,state,-0.06461714687991993,-0.040797215043422375,0.05644220477452671
27,15,2015-01,7.25,10.1,0.3931034482758619,4,state,0.21133554123569165,0.13954152252373797,0.0015842249730653724
28,15,2022-10,10.1,14.0,0.3861386138613862,2,state,0.011326501705937075,-0.0015952195152970639,0.0006073151129925024
30,17,2020-01,8.25,13.0,0.5757575757575757,5,state,0.01943393416049144,-0.061343461958137224,0.06245587868094747
36,23,2017-01,7.5,12.0,0.6000000000000001,4,state,0.126982138572306,0.023273255643291968,0.009301327468223
38,24,2015-01,7.25,10.1,0.3931034482758619,4,state,0.032399575815736714,0.03929020673659145,0.016245805337113173
41,25,2015-01,8.0,11.0,0.375,3,state,0.1211601242554392,0.033423478758784375,0.03761937829221125
43,26,2014-09,7.4,9.25,0.25,1,state,0.005530375207648541,-0.023429854861666488,0.06902556128356957
46,27,2014-08,7.25,9.65,0.3310344827586207,3,state,0.0818936137048547,0.03438123694997075,0.04786870932112918
48,29,2019-01,7.85,11.15,0.4203821656050956,4,state,0.07661349155776986,0.13339556113666973,0.03883072529525962
51,30,2022-01,8.75,10.55,0.2057142857142857,2,state,-0.01787435022484407,-0.08315707192286115,0.0084551244966177
52,31,2015-01,7.25,9.0,0.2413793103448276,2,state,0.12126400639043566,0.15072103300933137,0.01479724801927582
53,31,2023-01,9.0,13.5,0.5,3,state,-0.009976646754486987,-0.008635462784133185,0.0175984974732816
55,32,2020-07,8.25,11.25,0.3636363636363635,4,state,0.06588919860774789,0.010674637582575919,0.01143845383996817
57,34,2014-01,7.25,8.44,0.1641379310344826,1,state,0.005938956983138399,-0.013843871161273613,0.04571200898329293
58,34,2019-07,8.85,14.0,0.5819209039548023,5,state,0.013789594207615163,-0.0039785239647218695,0.029713986841879415
59,35,2020-01,7.5,12.0,0.6000000000000001,3,state,0.0544419128503586,-0.1395972090952764,0.0019115871044736907
61,36,2014-01,7.25,9.7,0.3379310344827586,3,state,0.012321152016039116,-0.026707495519926905,0.052491532993897534
64,39,2022-01,8.8,10.7,0.2159090909090908,2,state,-0.012252613327225603,0.007424616216350932,0.10210836164660116
68,41,2016-07,9.25,11.25,0.2162162162162162,2,state,-0.01157699253030986,-0.030939721874922776,0.0233027191244789
72,44,2015-01,8.0,10.1,0.2624999999999999,3,state,0.11329476955568307,0.043656541273804805,0.008320062734726408
73,46,2015-01,7.25,8.85,0.2206896551724138,1,state,0.11328918729530957,0.07781532581970318,0.006993426882106002
74,46,2022-01,9.45,11.5,0.2169312169312169,2,state,-0.0438466047783761,-0.13543595723049795,0.010172501573773723
76,50,2018-01,10.0,11.75,0.175,2,state,0.010883077455080103,0.019779549951169262,0.006211677373523951
77,51,2021-05,7.25,13.5,0.8620689655172413,4,state,0.0844383303545303,0.020773918383143908,0.04042090674551473
80,53,2017-01,9.47,13.5,0.4255543822597676,2,state,-9.648139390772137e-05,-0.06579550509211951,0.03142901221039949
82,54,2015-01,7.25,8.75,0.2068965517241379,2,state,0.055999240305374065,0.1454557745820948,0.010435178263775753
90,6001,2014-07,8.0,13.23,0.65375,2,both,-0.06741369387631357,-0.052450970495826255,0.002211624984631768
96,6037,2014-07,8.0,12.0,0.5,4,both,0.02531975544482401,0.0017366606473445678,0.012940699724039433
102,6073,2014-07,8.0,11.5,0.4375,4,both,-0.4156737236653605,-0.5168188845114721,0.00371902150444041
104,6075,2015-05,11.05,15.0,0.3574660633484161,4,local,,,0.0
107,6081,2014-07,8.0,13.5,0.6875,4,both,,,0.0
110,6085,2013-04,8.0,10.5,0.3125,1,local,,,0.0
111,6085,2017-07,10.5,15.45,0.4714285714285713,3,local,-0.03220601051080848,-0.07460764483542004,0.0019761110084730664
114,6097,2014-07,8.0,11.0,0.375,3,both,0.15693306073431168,0.05975331816318885,0.004090951854627166
116,8031,2017-01,8.31,12.85,0.5463297232250299,4,both,0.2800687885220773,-0.018556433679900897,0.0009149262606113063
118,17031,2015-07,8.25,12.0,0.4545454545454546,3,local,0.19618336654779256,-0.05478289377785406,0.005036515578252858
134,23005,2016-01,7.5,11.0,0.4666666666666665,2,local,-0.1776004139964158,-0.3479650396174545,0.001003533588583954
136,24031,2014-10,7.25,12.25,0.6896551724137931,5,local,,,0.0
138,24033,2014-10,7.25,11.5,0.5862068965517242,4,local,,0.05453867703327342,0.0010687669720458972
140,27053,2014-08,7.25,11.25,0.5517241379310345,5,both,0.34387526407012203,0.13709130637896472,0.0005154237183884893
142,27123,2014-08,7.25,9.65,0.3310344827586207,3,both,-0.03114299002505605,0.05198844920683898,0.005308230159617466
143,27123,2020-01,9.86,15.0,0.5212981744421907,2,local,0.45333959963949366,0.4003597844864559,0.0032625074440653136
145,35001,2013-01,7.5,8.75,0.1666666666666667,1,local,0.008061686704792015,0.11515051628242778,0.0019544960393926185
146,35001,2021-01,9.35,11.5,0.2299465240641711,2,both,0.052694326390934076,0.06010898711210522,0.0006149212770143175
147,35013,2015-01,7.5,9.2,0.2266666666666665,2,local,-0.23198611619309975,-0.134471745622474,0.0012748585713126658
148,35013,2023-01,10.5,11.5,0.0952380952380953,1,local,,-0.03072728015991366,0.0007474229753387753
151,35049,2022-03,12.32,12.95,0.0511363636363635,1,local,,0.396643578484408,0.0004230515609208967
153,36005,2014-01,7.25,11.0,0.5172413793103448,3,both,,,0.0
155,36047,2014-01,7.25,11.0,0.5172413793103448,3,both,0.2513414379674407,-0.06646316329662083,0.0009804848582558297
157,36059,2014-01,7.25,10.0,0.3793103448275863,3,both,-0.06699916937224093,-0.06168534933417846,0.002844834738303538
159,36061,2014-01,7.25,11.0,0.5172413793103448,3,both,-0.03185926216842631,,0.0011127623899063967
161,36081,2014-01,7.25,11.0,0.5172413793103448,3,both,0.11898488608351254,-0.03484108819394616,0.0034117189155664558
163,36085,2014-01,7.25,11.0,0.5172413793103448,3,both,0.017117659539144237,0.07629608105178143,0.0017372763402925678
165,36103,2014-01,7.25,10.0,0.3793103448275863,3,both,0.15335764093166904,-0.046392890210382065,0.009409683565286523
167,36119,2014-01,7.25,10.0,0.3793103448275863,3,both,0.19722015636015774,0.42902957735169567,0.0013482530062675403
227,41051,2016-07,9.25,12.5,0.3513513513513513,3,both,-0.07304578699729447,-0.0731335843656975,0.002952449340703067
254,53033,2015-04,9.47,16.0,0.6895459345300949,3,local,-0.04086313418901211,-0.23791520535952126,0.003194954465097695
255,53033,2021-01,15.75,17.27,0.0965079365079364,1,local,0.6690050381253819,0.6661759901567903,0.0009056888354474649
258,53053,2016-02,9.47,12.35,0.3041182682154169,3,local,,,0.0
