event_id,unit,event_ym,mw_before,mw_end,pct_window,n_steps,source,post_avg,pre_avg,weight
90,6001,2014-07,8.0,13.23,0.65375,2,both,0.0718037962122631,0.001675822795627946,0.05049683903578519
96,6037,2014-07,8.0,12.0,0.5,4,both,0.03871876681220873,-0.010617310901372579,0.3394038317529681
102,6073,2014-07,8.0,11.5,0.4375,4,both,0.0011516507470245851,0.09786555963728488,0.09626003527809424
107,6081,2014-07,8.0,13.5,0.6875,4,both,-0.004304732376464587,-0.2764817960605078,0.0165582249804088
114,6097,2014-07,8.0,11.0,0.375,3,both,0.12074283372874633,0.13822980643642102,0.01812514719176879
116,8031,2017-01,8.31,12.85,0.5463297232250299,4,both,-0.0418172657228488,-0.017288051406829597,0.01460867456480112
140,27053,2014-08,7.25,11.25,0.5517241379310345,5,both,0.14372387148138743,0.18169481886483452,0.011772562636934767
142,27123,2014-08,7.25,9.65,0.3310344827586207,3,both,0.00876491749353972,0.06332479601896507,0.018676424376276087
146,35001,2021-01,9.35,11.5,0.2299465240641711,2,both,0.01128244727883676,0.005785481507160184,0.021946375846053797
153,36005,2014-01,7.25,11.0,0.5172413793103448,3,both,-0.08965175982406948,-0.10442715307406275,0.03924822163020228
155,36047,2014-01,7.25,11.0,0.5172413793103448,3,both,0.0540772409236254,0.048515913787343046,0.0687639710832577
157,36059,2014-01,7.25,10.0,0.3793103448275863,3,both,0.052256590834578065,0.09599119084643432,0.051302807278345956
159,36061,2014-01,7.25,11.0,0.5172413793103448,3,both,-0.003616333185505194,-0.037027143695561426,0.04697147014714489
161,36081,2014-01,7.25,11.0,0.5172413793103448,3,both,-0.04184047071130742,-0.09147348617129841,0.08810122568611023
163,36085,2014-01,7.25,11.0,0.5172413793103448,3,both,0.010390192064618942,-0.10351509337664844,0.007060960141782796
165,36103,2014-01,7.25,10.0,0.3793103448275863,3,both,0.05372559023172041,0.10604074394521651,0.058617616352514494
167,36119,2014-01,7.25,10.0,0.3793103448275863,3,both,0.25099962486636745,0.053221298688697405,0.037337400335038025
227,41051,2016-07,9.25,12.5,0.3513513513513513,3,both,0.04086490864789438,0.2662956274771151,0.014748211682512906
