event_id,unit,event_ym,mw_before,mw_end,pct_window,n_steps,source,post_avg,pre_avg,weight
3,2,2010-01,7.25,7.75,0.0689655172413792,1,state,-0.002503826557902461,-0.008071348635102504,0.004562906889893913
4,2,2015-01,7.75,9.84,0.2696774193548388,2,state,0.02867977678160702,0.0324167085401591,0.0039805760930799105
5,2,2024-01,10.85,13.0,0.1981566820276499,2,state,0.03195150483186804,-0.012904897500368995,0.004271481435002526
7,4,2017-01,8.05,12.0,0.4906832298136645,3,state,-0.0372059822699457,-0.02930539944888344,0.0383557073799649
9,5,2016-01,7.5,9.25,0.2333333333333334,3,state,0.02341817768998991,0.0012769169754619503,0.01777080759031703
12,6,2014-07,8.0,11.0,0.375,3,state,-0.013195771619999241,-0.005398794711998223,0.11589147782088592
14,8,2017-01,8.31,12.0,0.4440433212996388,4,state,-0.023125313572121803,0.0033597331982723744,0.023253353028274748
16,9,2014-01,8.25,10.1,0.2242424242424241,3,state,0.004567563719269863,-0.03708120185389385,0.022140564378460084
19,10,2014-06,7.25,8.25,0.1379310344827586,2,state,-0.00169404971987544,0.05028666555305783,0.005158032236146417
20,10,2019-01,8.25,10.5,0.2727272727272727,3,state,0.05178426454288612,0.004952569033294885,0.003928981297794712
23,11,2014-07,8.25,12.5,0.5151515151515151,4,state,0.02264786953039105,-0.004023901976087985,0.0023350812822683933
25,12,2021-10,8.56,13.0,0.5186915887850467,4,state,-0.025377673343641827,-0.02672665882670555,0.093401341184447
27,15,2015-01,7.25,10.1,0.3931034482758619,4,state,-0.0015422615524233185,0.002395654473709097,0.007858684171632737
28,15,2022-10,10.1,14.0,0.3861386138613862,2,state,-0.0038410124075796692,0.005854041014944356,0.007457736166496232
30,17,2020-01,8.25,13.0,0.5757575757575757,5,state,-0.0029029849582998257,-0.025913115317747315,0.05940156373722218
36,23,2017-01,7.5,12.0,0.6000000000000001,4,state,-0.02462063153667099,0.046608822217094725,0.004524337429879225
38,24,2015-01,7.25,10.1,0.3931034482758619,4,state,0.00983593271833949,0.01617529638708398,0.02298266815009583
41,25,2015-01,8.0,11.0,0.375,3,state,-0.03040295802292109,-0.02242670736831781,0.03898131945009955
43,26,2014-09,7.4,9.25,0.25,1,state,0.022436094991880956,0.01234973618562013,0.05026576497047507
44,26,2025-03,10.56,12.48,0.1818181818181818,1,state,-0.051205972983636716,0.037926873188908417,0.048826685787898505
46,27,2014-08,7.25,9.65,0.3310344827586207,3,state,-0.021175533556895693,-0.0025280060411995153,0.024590841108380872
48,29,2019-01,7.85,11.15,0.4203821656050956,4,state,-0.040007011986358754,-0.0029475456081520246,0.03468797674896115
51,30,2022-01,8.75,10.55,0.2057142857142857,2,state,-0.025197090957795487,0.005888411023526607,0.005071193929540294
52,31,2015-01,7.25,9.0,0.2413793103448276,2,state,0.025050215837506523,0.06072411936536393,0.010353614877576212
53,31,2023-01,9.0,13.5,0.5,3,state,-0.015052889504752198,-0.028330544052564632,0.011077055163123269
55,32,2020-07,8.25,11.25,0.3636363636363635,4,state,-0.022213569301993502,-0.016772568209730443,0.013951769845246055
57,34,2014-01,7.25,8.44,0.1641379310344826,1,state,0.002107876690370214,-0.02003875347184164,0.05158365854425849
58,34,2019-07,8.85,14.0,0.5819209039548023,5,state,0.02693246169293198,0.0513722823991451,0.045944878407631014
59,35,2020-01,7.5,12.0,0.6000000000000001,3,state,0.046054283915783284,0.014508235442183104,0.005317070901374587
61,36,2014-01,7.25,9.7,0.3379310344827586,3,state,0.007437899480410959,0.005552335779875128,0.038548998076125045
64,39,2022-01,8.8,10.7,0.2159090909090908,2,state,0.03357509341411544,0.006676840109094806,0.06133115221852546
68,41,2016-07,9.25,11.25,0.2162162162162162,2,state,0.006886381093333338,0.002415695065096979,0.01833131229771768
72,44,2015-01,8.0,10.1,0.2624999999999999,3,state,-0.021746136572951297,-0.012824425615649782,0.005960887906315056
73,46,2015-01,7.25,8.85,0.2206896551724138,1,state,0.021117488721056676,0.03541772803394888,0.004722553059071968
74,46,2022-01,9.45,11.5,0.2169312169312169,2,state,0.018013798803074854,-0.016802630158106402,0.004909135675328805
76,50,2018-01,10.0,11.75,0.175,2,state,-0.010868594040819995,-0.03327291224812812,0.003197665409546319
77,51,2021-05,7.25,13.5,0.8620689655172413,4,state,-0.02615235730393156,0.0007628479926919396,0.04068848606735398
80,53,2017-01,9.47,13.5,0.4255543822597676,2,state,0.014914833919719261,-0.012100877119030018,0.03549149622800105
82,54,2015-01,7.25,8.75,0.2068965517241379,2,state,0.004797531360075713,0.03803375975980389,0.008891183055587669
