event_id,unit,event_ym,mw_before,mw_end,pct_window,n_steps,source,post_avg,pre_avg,weight
104,6075,2015-05,11.05,15.0,0.3574660633484161,4,local,0.13357807915112874,0.024607068913947594,0.05275688679935011
110,6085,2013-04,8.0,10.5,0.3125,1,local,0.08234803746193814,0.026578591938843377,0.09179437657074428
111,6085,2017-07,10.5,15.45,0.4714285714285713,3,local,0.17168833799474195,0.1107044760531034,0.11272920787490266
118,17031,2015-07,8.25,12.0,0.4545454545454546,3,local,0.10983857028766428,0.042029500751698645,0.22986649778118093
134,23005,2016-01,7.5,11.0,0.4666666666666665,2,local,-0.06767689485280191,0.022932416001035794,0.01938435919516595
136,24031,2014-10,7.25,12.25,0.6896551724137931,5,local,0.22397779279311797,,0.011742622330132924
138,24033,2014-10,7.25,11.5,0.5862068965517242,4,local,-0.02415016446409482,0.10378369726302711,0.0870487897069857
143,27123,2020-01,9.86,15.0,0.5212981744421907,2,local,-0.18018217215750368,-0.15301763585400047,0.03812735227541267
145,35001,2013-01,7.5,8.75,0.1666666666666667,1,local,0.027939974674895174,-0.023791628415309796,0.08565283933469955
147,35013,2015-01,7.5,9.2,0.2266666666666665,2,local,0.20738551209033196,0.27322417122849746,0.030748079614528464
148,35013,2023-01,10.5,11.5,0.0952380952380953,1,local,-0.052222253495649934,-0.11240064088548302,0.027493723017538982
150,35049,2012-03,9.5,10.84,0.1410526315789473,1,local,-0.3289941881098938,0.11828242804010236,0.008914356481792127
151,35049,2022-03,12.32,12.95,0.0511363636363635,1,local,0.3447392290836645,0.29667645581129026,0.008674373892388098
254,53033,2015-04,9.47,16.0,0.6895459345300949,3,local,0.13577693917954606,0.06894455910340713,0.11640916102207782
255,53033,2021-01,15.75,17.27,0.0965079365079364,1,local,-0.02208679238856273,0.07072065731472721,0.06362832236914369
258,53053,2016-02,9.47,12.35,0.3041182682154169,3,local,0.07697389002966844,0.2135435843240278,0.015029051733956047
